REFCODE,M_1,M_2,K_0_1,K_0_2,DeltaH,r2,iso_enth,p_thres
XOVXEM_clean,0.7687698787395214,1.5611227400731436,6.192377697734931e-07,2.7693814371647097e-05,-36890.92903230465,0.9937776148436356,-35745.28525647211,4
XOVVIO_clean,1.079534076011475,1.6178774929068016,3.2122954691295685e-07,3.718735299299407e-06,-37532.925002718046,0.9817926538882822,-44009.43677542784,4
XOVXAI_clean,0.9663788778242612,1.9423048685741628,3.96339688751578e-07,3.2568787249861286e-05,-33934.15852153319,0.9772694683839313,-40656.244967383565,20
XULCIR_clean,2.9308607008175884,5.848145699604668,1.4337291884889689e-07,1.215303518680564e-05,-36127.76242671853,0.9952137548470624,1.0,12
XOVVOU_clean,3.1056403949763256,8.239847958170143,2.7304903868949644e-06,5.4413175782616255e-06,-30668.17263029848,0.9982228354738198,-29291.804896493133,8
XUMFIV_clean,3.8116063037642824,4.004026077359393,3.093362010072635e-07,8.760447130777522e-06,-32598.88096079712,0.9990093304695068,-32806.42441590591,2
XUCNOZ_clean,2.764327248741211,4.204044521443946,3.4378930946811943e-08,5.399007585109345e-06,-37337.79784195339,0.9869325913710022,-36560.88297545192,20
XUMVAD_clean,4.88971036465247,5.951601420206561,3.858748203450608e-06,0.0005712464909806,-27300.24365981278,0.9754583602224975,1.0,20
XUNGOD_clean,5.431426426754565,4.181451711203055,3.6223650080573337e-07,8.942999839856325e-05,-28543.61908839963,0.9879306313178612,-31107.137039727422,8
XUNHAQ_clean,3.523765751187164,4.651410635478141,3.714640234500994e-07,4.2196562216744186e-06,-35636.3408618677,0.9980688070757684,-36675.731365047955,2
XUMTUV_clean,4.712838947748927,5.87265095248455,4.3012643906694106e-06,0.0005045930488303,-27060.29712586204,0.9811586983293624,1.0,20
XUGSEY_clean,-0.0325733067826206,15.903681481509665,2920026446686.2007,7.523151280978232e-07,-33518.29023237982,0.9454210091002714,-23240.409294441157,4
XUYDIF_clean,-0.2032988973533294,1.6205215289755277,155984531.84327692,0.0004778370211093,-25616.56581252675,0.9949918363611618,-23817.54128316729,2
XUNGUJ_clean,4.516424321367813,4.3356735921648895,5.072446480232314e-09,7.570663770290961e-07,-40433.32545637982,0.986466018553109,-37666.32186470572,20
YANBAR01_clean,-0.0186525827016358,2.45681186371109,-27570.11154270925,1.3655335280526343e-05,-28558.35218496272,0.9992322636476564,-31891.06170324539,2
XUYXAR_clean,0.7244944891953369,2.572975519417038,-5.991711341189719,2.1975403359863624e-08,-44275.82369015551,0.9966650364294564,-45149.803903310465,12
YANBAR02_clean,-0.0277625187021409,2.448157202208931,-122585.12975039576,3.611205560829274e-05,-25753.918638295676,0.9976869536465102,-27377.800037938498,4
YARFII,2.840538093135176,5.097259828412267,2.874402254798553e-07,1.3232830821763171e-05,-33786.96048357155,0.998051287811252,-33119.470825738885,12
YARKAF_clean,1.980683574059671,2.035865754510408,5.014621417807807e-07,1.0740840155536084e-05,-32709.373819691315,0.9930006168351372,-38734.22912561512,8
YARSAN_clean,1.0685948953592832,2.930673442496156,1.0442687619294878e-06,3.332560516181831e-05,-34133.30377100906,0.9965988297686454,-35899.36745916635,4
YASLUA_clean,0.1181869523877985,4.071853530216659,4.1387698753245515e-07,4.136738520585952e-07,-42980.47737425645,0.9932376834393696,-46855.64404409863,2
YASNAJ_clean,2.4817536296350804,2.497513513147222,2.142430291955175e-07,3.363019804117219e-06,-37509.203892055666,0.9953663351432396,1.0,8
YARGAB_clean,-0.3181095490521293,10.288813341420193,438377143552.5679,0.0004133102004168,-20334.36222748497,0.9542673968440945,-20334.36222748497,2
YAZFOW_clean,0.7420015261001234,7.493514702820513,-2822088.9020001977,1.6022972600233278e-05,-30125.277099746178,0.860899119508548,-41395.67889394846,8
YARYOF_clean,-0.0025250241459339,6.496082649781574,-174431.8930007603,1.7955498823666665e-06,-29457.702078779123,0.9956951380683756,-23249.432569402492,4
YAXBOP_clean,1.756234761899781,5.5451016273413565,3.541228110582935e-06,2.935366667850355e-06,-31301.669088717896,0.9915525054466268,-29387.54766275762,8
YEGCUJ_clean,2.7443693877414765,3.5407683146732984,4.9285375172804784e-08,4.7995383993068695e-06,-37132.16236556216,0.9568297124358024,-32173.705355596347,20
YARYEV_clean,-1.4552409165973137,7.021416720563455,8.469044890645792e-05,3.095951618080233e-05,-24324.207054663657,0.999548453437762,-24861.022561817128,2
YAYLIV_clean,0.9859881368330876,1.7301982696756797,0.0078106986241142,48189014.66109225,-17578.742524307756,0.9714926112396608,-27913.210984620568,4
YECQUS02_clean,-0.0101994295635591,3.2647979580458584,-85423.67619778171,1.937406676186709e-07,-40399.58850273939,0.996552463261916,-40213.816081711935,2
YAYLER_clean,0.884244694894304,1.2536430620266,9.101883477597016e-07,3239.9802327724533,-41486.27080756457,0.9113775236752856,-39002.96370566463,12
YAZWOM_clean,0.0043058572550322,1.570152287455949,-66624.60951854709,4.3624742207109345e-06,-31854.02085170865,0.99604257509192,-39196.911629413575,2
YELYOE_clean,0.3962998685959122,2.3983876813690848,-1188035.33350228,4.883377908336619e-05,-31351.479436718968,0.9098020219893532,1.0,20
YEKXET_clean,-0.1194550304339316,9.870621069748932,-169529.72446426254,4.375109122815002e-05,-25328.250458989296,0.9525393314852996,-26357.44790049001,2
YEYBOV_clean,1.0747610124232048,1.4360588791888396,5.600452010800135e-07,5.600953999887214e-07,-33988.56850455405,0.992533650641936,-47655.18194841005,20
YEGKOM_clean,-0.1751078540950683,7.782074836046427,-15665.22314011572,0.0068863715930709,-15119.190869668286,0.827481744329245,-32175.414254130337,12
YEMJAC_clean,1.479594353292868,5.1411482155558055,1.3430377946720678e-07,1.3047314068136575e-06,-38439.01298210504,0.9923509076903192,-36511.52227832294,12
YEGTEK_clean,1.431768915720225,3.246711953517423,1.0379920272128617e-07,2.4546520947340087e-06,-41660.05641916118,0.9924872897475896,-41481.65024146334,2
YICGOI_clean,1.6535310556898244,2.7653296024011556,1.504707374288789e-07,4.5550749605883106e-06,-38144.79695996699,0.9971021990995874,-39648.40708611683,2
YEZKOF_clean,2.7482480606213127,3.366975797807136,1.741593365251061e-06,1.670136967475837e-05,-31113.89361899839,0.9987333145995696,-31579.56759514227,12
YEYFEP_clean,-0.3767720346507913,11.144441312476808,0.000350566985983,3.0421677505760883e-06,-34286.08542089271,0.9953172352492758,-33363.647456342114,4
YEZKEV_clean,2.607568735645135,3.7956129116366055,1.0682899018455762e-06,8.759204765118509e-06,-33325.565735359385,0.9973180792115264,-37682.85780828805,8
