ABAVIJ_clean, 1320.38
ABAVOP_clean, 1285.81
ABEXIQ_clean, 2602.59
ABEXOW_clean, 2572.73
ABEXUC_clean, 2546.99
ABEYAJ_clean, 2511.78
ABEYIR, 2477.63
ABIYIV, 4703.28
ABUWOJ_clean, 4518.16
ACAKUM, 2226.95
ACALIB_clean, 2087.56
ACODED, 5539.83
ACOLIP_clean, 1527.86
ACOLUB_clean, 4644.21
ACUBAB_clean, 1622.68
ACUTOI_clean, 3357.19
ADABAK, 2225.78
ADABAK01_clean, 1105.82
ADABIS_clean, 1103.94
ADABUE_clean, 1244.47
ADAXEK_clean, 833.647
ADEGIA_clean, 839.092
ADIQEL_clean, 953.188
ADOBAX, 4446.68
ADOBOL_clean, 4259.51
AFITIT_clean, 4269.85
AFIXAO_clean, 5713.78
AFOQUI_clean, 2076.4
AFOTUL_clean, 1600.49
AFOVAT_clean, 1593.02
AFOVIB_clean, 1570.05
AFOVOH_clean, 1598.69
AFOYOK_clean, 2508.04
AFUPEX_clean, 1801.62
AGARUW_clean, 2421.47
AGAXOV_clean, 3499.87
AGESIP_clean, 659.382
AGUWUV_clean, 791.15
AHINIP_clean, 3044.76
AHOKIR01_clean, 293.967
AHUTIH01_clean, 1065.46
AHUTIH_clean, 1066.59
AJAYIT_clean, 2195.74
AKUHOD01_clean, 920.135
ALAMUW_clean, 5115.55
ALIXOJ_clean, 3224.33
ALIXUP_clean, 2802.92
ALUJIB_clean, 5415.53
ALUJOH_clean, 5496.43
ALUJUN_clean, 830.874
ALUKAU_clean, 821.132
ALUKIC_clean, 6355.56
ALULAV_clean, 6290.14
ALULID_clean, 3876.16
AMAFOK_clean, 1033.81
AMALND_clean, 2083.98
AMIKOX_clean, 2479.63
AMILUE_clean, 4728.39
AMIMEP_clean, 4711.05
AMIWOJ_clean, 2068.07
AMIXAW_clean, 2034.19
AMIXEA_clean, 2020.73
AMOZAE_clean, 1346.45
AMUCOB_clean, 1064.12
AMUXAI_clean, 3142.46
ANENEN_clean, 1569.11
ANENIR_clean, 1576.71
ANOMUM_clean, 2858.11
ANUGIA_clean, 5310.8
ANUGUM_clean, 3183.59
APEBED_clean, 1894.1
AQALOU_clean, 2286.8
AQETIA_clean, 2256.4
AQETUM_clean, 1900.49
AQMAND01_clean, 946.695
AQMAND_clean, 949.28
AQODOA_clean, 1390.1
AQUCOF_clean, 3176.23
AQUDAS_clean, 3184.19
ARIBOS_clean, 1893.46
AROFAP_clean, 3565.41
AROFET_clean, 3248.15
